id,unitgroup_id,code,name
389,141,31129,Other civil engineering and related technicians
390,142,31131,Electrical engineering technician
391,142,31132,Lift technician
392,143,31141,Electronics engineering technician
393,143,31142,Semi-conductor technician
394,143,31143,Audio and video equipment technician
395,143,31144,Instrumentation technician
396,144,31151,Mechanical engineering technician
397,144,31152,Air-conditioning/Refrigeration engineering technician
398,144,31153,Machining/Tooling technician
399,145,31161,Chemical engineering technician
400,145,31162,Chemical engineering technician (petroleum and natural gas)
401,145,31163,Chemical engineering technician (petrochemicals)
402,145,31164,Food science technician
403,146,31171,Manufacturing engineering technician
404,146,31172,Production engineering technician
405,146,31173,Process engineering technician
406,146,31174,Automation technician
407,146,31175,Quality assurance technician
408,147,31181,Mechanical draughtsman
409,147,31182,Electrical/Electronics draughtsman
410,147,31183,Civil/Structural engineering draughtsman
411,147,31184,Architectural draughtsman
412,147,31185,Marine draughtsman
413,147,31189,Other draughtsmen (e.g. cartographical draughtsman)
414,148,31211,Aeronautical engineering technician
415,148,31212,Automotive engineering technician
416,148,31213,Marine surveyor (ship and nautical)
417,148,31214,Rolling stock engineering technician
418,149,31291,Mechatronics technician
419,149,31292,Metallurgical technician
420,149,31293,Precision optics technician
421,149,31294,Quantity surveying technician
422,149,31295,Airport maintenance technician
423,149,31299,Other physical and engineering science technicians n.e.c.
424,150,31310,Power generating plant operator
425,151,31321,Stationary engine operator
426,151,31322,Compressor operator
427,151,31323,Pumping station operator
428,151,31324,Water treatment machine operator (waterworks)
429,151,31325,Refrigeration system operator
430,151,31329,Other incinerator and water treatment plant and related machine operators
431,152,31331,Chemical processing and chemical products plant controller
432,152,31332,Pharmaceutical products machine controller
433,153,31341,Petroleum and natural gas refining plant operator
434,153,31342,Cylinder filler/tester (compressed and liquefied gases)
435,154,31350,Metal production process controller
436,155,31391,Remote crane operator
437,155,31392,Automated assembly line/Industrial robot operator
438,155,31399,Other process control technicians n.e.c.
439,156,31411,Biological technician
440,156,31412,Clinical research coordinator
441,156,31419,Other life science technicians
442,157,31421,Horticultural technician (including irrigation specialist)
443,157,31422,Plant tissue culture technician
444,157,31423,Farming technician (animal production)
445,158,31510,"Marine engineering officer (including third, fourth and fifth engineer)"
446,159,31521,"Ship's deck navigating officer (including second, third and fourth mate)"
447,159,31522,Harbour pilot
448,159,31529,Other ships' deck officers and pilots
449,160,31540,Air traffic controller
450,161,31560,Sea traffic controller
451,162,31571,Air transport service supervisor
452,162,31572,Train service supervisor
453,162,31573,Road transport supervisor
454,162,31574,Port/Shipping operations supervisor (including post-fixture and planner)
455,162,31579,Other transport operations supervisors
456,163,31591,Port master/Dockmaster
457,163,31592,Port captain
458,163,31593,Flight operations officer
459,163,31594,Air cargo officer
460,163,31595,Load control officer (aircraft)
461,163,31596,Train operations officer
462,163,31597,Road transport operations officer
463,163,31599,Other transport controllers and related workers n.e.c.
464,164,31601,Premises and facilities maintenance officer
465,164,31602,Landscape operations officer
466,164,31603,Parks officer
467,165,31711,Fire and safety inspector
468,165,31719,Other building and fire inspectors
469,166,31720,"Safety inspector (vehicles, processes and products)"
470,167,32111,Sonographer
471,167,32112,Medical X-ray technician
472,167,32119,"Other medical imaging, therapeutic equipment technicians and related associate professionals"
473,168,32120,Medical and pathology laboratory technician
474,169,32130,Pharmacy technician
475,170,32141,Prosthetist and orthotist
476,170,32142,Prosthetic and orthotic technician
477,170,32143,Dental technician
478,171,32200,Enrolled/Assistant nurse (excluding registered nurse)
479,172,32300,Traditional and complementary medicine associate professional (e.g. homeopath and naturopath)
480,173,32400,Veterinary technician/assistant
481,174,32510,Oral health therapist (e.g. dental therapists and dental hygienists)
482,175,32530,Community health worker
483,176,32540,Opticians
484,177,32551,Massage therapist
485,177,32559,Other physiotherapy technicians and related associated professionals
486,178,32571,Environmental inspector (environmental public health)
487,178,32572,Occupational health and safety inspector
488,179,32591,Paramedic
489,179,32599,Other health associate professionals n.e.c.
490,180,33121,Financial markets back office administrator
491,180,33129,Other credit and loans officers
492,181,33131,Assistant accountant
493,181,33132,Audit associate professional
494,181,33133,Tax associate professional
495,182,33151,Appraiser/Valuer (excluding intangible asset valuer)
496,182,33152,Assessor
497,182,33153,Intangible asset valuer (e.g. Intellectual property valuation analyst)
498,183,33211,Insurance sales agent/broker (including independent financial planner)
499,183,33219,Other insurance representatives and related associate professionals
500,184,33221,Business development executive
501,184,33222,After sales adviser/Client account service executive
502,184,33223,Marketing and sales executive (food & beverage services)
503,184,33224,Online sales channel executive
504,184,33225,Merchandising/Category executive
505,184,33229,Other commercial and marketing sales executives
506,185,33231,Buyer
507,185,33232,Purchasing agent
508,186,33291,Intellectual property brokers and transaction specialist
509,186,33299,Sales and related associate professionals n.e.c.
510,187,33311,Clearing and forwarding agent
511,187,33312,Shipping agent/Boarding officer
512,187,33313,Freight inspector
513,188,33320,Exhibition/Conference/Event planner (including wedding planner/coordinator)
514,189,33330,Employment agent/Labour contractor
515,190,33340,Real estate agent
516,191,33391,Auctioneer
517,191,33392,Advertising salesman
